rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt
10,10,0,OLD,20231035,카구야 님은 고백받고 싶어 -첫 키스는 끝나지 않아-,2023-04-06,27178300,0.8,-12885900,-32.2,136089900,2383,-1137,-32.3,11980,107,221,20230405
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,1545941390,46.1,-343681878,-18.2,44785691803,154556,-33196,-17.7,4344056,1323,5109,20230404
2,2,0,OLD,20226489,리바운드,2023-04-05,802910347,23.9,-84289396,-9.5,2769555376,82900,-7973,-8.8,290164,1154,4413,20230404
3,3,1,OLD,20231089,존 윅 4,2023-04-12,207880297,6.2,-22572911,-9.8,459549505,17996,-1904,-9.6,39144,173,364,20230404
4,4,-1,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,168895437,5.0,-50248169,-22.9,2666060307,16721,-4636,-21.7,267944,623,1317,20230404
5,5,0,OLD,20231010,에어,2023-04-05,145271413,4.3,-52693051,-26.6,750911362,14494,-5402,-27.2,77552,629,1962,20230404
6,6,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,188916500,5.6,-37243500,-16.5,46190437867,10805,-1836,-14.5,4447450,22,126,20230404
7,7,0,OLD,20210544,웅남이,2023-03-22,44281046,1.3,-4838843,-9.9,2725483652,4793,-566,-10.6,297333,363,558,20230404
8,8,1,OLD,20230484,치킨래빗: 잃어버린 보물을 찾아서,2023-03-18,33462000,1.0,-1266500,-3.6,546366000,3557,6,0.2,61162,138,208,20230404
9,9,-1,OLD,20230764,오글리스: 웰컴 투 냄새 마을,2023-04-06,30223090,0.9,-1948798,-6.1,74771876,3406,-223,-6.1,8611,249,294,20230404
10,10,0,OLD,20231035,카구야 님은 고백받고 싶어 -첫 키스는 끝나지 않아-,2023-04-06,27178300,0.8,-12885900,-32.2,136089900,2383,-1137,-32.3,11980,107,221,20230404
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,1545941390,46.1,-343681878,-18.2,44785691803,154556,-33196,-17.7,4344056,1323,5109,20230403
2,2,0,OLD,20226489,리바운드,2023-04-05,802910347,23.9,-84289396,-9.5,2769555376,82900,-7973,-8.8,290164,1154,4413,20230403
3,3,1,OLD,20231089,존 윅 4,2023-04-12,207880297,6.2,-22572911,-9.8,459549505,17996,-1904,-9.6,39144,173,364,20230403
4,4,-1,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,168895437,5.0,-50248169,-22.9,2666060307,16721,-4636,-21.7,267944,623,1317,20230403
5,5,0,OLD,20231010,에어,2023-04-05,145271413,4.3,-52693051,-26.6,750911362,14494,-5402,-27.2,77552,629,1962,20230403
6,6,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,188916500,5.6,-37243500,-16.5,46190437867,10805,-1836,-14.5,4447450,22,126,20230403
7,7,0,OLD,20210544,웅남이,2023-03-22,44281046,1.3,-4838843,-9.9,2725483652,4793,-566,-10.6,297333,363,558,20230403
8,8,1,OLD,20230484,치킨래빗: 잃어버린 보물을 찾아서,2023-03-18,33462000,1.0,-1266500,-3.6,546366000,3557,6,0.2,61162,138,208,20230403
9,9,-1,OLD,20230764,오글리스: 웰컴 투 냄새 마을,2023-04-06,30223090,0.9,-1948798,-6.1,74771876,3406,-223,-6.1,8611,249,294,20230403
10,10,0,OLD,20231035,카구야 님은 고백받고 싶어 -첫 키스는 끝나지 않아-,2023-04-06,27178300,0.8,-12885900,-32.2,136089900,2383,-1137,-32.3,11980,107,221,20230403
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,1545941390,46.1,-343681878,-18.2,44785691803,154556,-33196,-17.7,4344056,1323,5109,20230402
2,2,0,OLD,20226489,리바운드,2023-04-05,802910347,23.9,-84289396,-9.5,2769555376,82900,-7973,-8.8,290164,1154,4413,20230402
3,3,1,OLD,20231089,존 윅 4,2023-04-12,207880297,6.2,-22572911,-9.8,459549505,17996,-1904,-9.6,39144,173,364,20230402
4,4,-1,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,168895437,5.0,-50248169,-22.9,2666060307,16721,-4636,-21.7,267944,623,1317,20230402
5,5,0,OLD,20231010,에어,2023-04-05,145271413,4.3,-52693051,-26.6,750911362,14494,-5402,-27.2,77552,629,1962,20230402
6,6,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,188916500,5.6,-37243500,-16.5,46190437867,10805,-1836,-14.5,4447450,22,126,20230402
7,7,0,OLD,20210544,웅남이,2023-03-22,44281046,1.3,-4838843,-9.9,2725483652,4793,-566,-10.6,297333,363,558,20230402
8,8,1,OLD,20230484,치킨래빗: 잃어버린 보물을 찾아서,2023-03-18,33462000,1.0,-1266500,-3.6,546366000,3557,6,0.2,61162,138,208,20230402
9,9,-1,OLD,20230764,오글리스: 웰컴 투 냄새 마을,2023-04-06,30223090,0.9,-1948798,-6.1,74771876,3406,-223,-6.1,8611,249,294,20230402
10,10,0,OLD,20231035,카구야 님은 고백받고 싶어 -첫 키스는 끝나지 않아-,2023-04-06,27178300,0.8,-12885900,-32.2,136089900,2383,-1137,-32.3,11980,107,221,20230402
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,1545941390,46.1,-343681878,-18.2,44785691803,154556,-33196,-17.7,4344056,1323,5109,20230401
2,2,0,OLD,20226489,리바운드,2023-04-05,802910347,23.9,-84289396,-9.5,2769555376,82900,-7973,-8.8,290164,1154,4413,20230401
3,3,1,OLD,20231089,존 윅 4,2023-04-12,207880297,6.2,-22572911,-9.8,459549505,17996,-1904,-9.6,39144,173,364,20230401
4,4,-1,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,168895437,5.0,-50248169,-22.9,2666060307,16721,-4636,-21.7,267944,623,1317,20230401
5,5,0,OLD,20231010,에어,2023-04-05,145271413,4.3,-52693051,-26.6,750911362,14494,-5402,-27.2,77552,629,1962,20230401
6,6,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,188916500,5.6,-37243500,-16.5,46190437867,10805,-1836,-14.5,4447450,22,126,20230401
7,7,0,OLD,20210544,웅남이,2023-03-22,44281046,1.3,-4838843,-9.9,2725483652,4793,-566,-10.6,297333,363,558,20230401
8,8,1,OLD,20230484,치킨래빗: 잃어버린 보물을 찾아서,2023-03-18,33462000,1.0,-1266500,-3.6,546366000,3557,6,0.2,61162,138,208,20230401
9,9,-1,OLD,20230764,오글리스: 웰컴 투 냄새 마을,2023-04-06,30223090,0.9,-1948798,-6.1,74771876,3406,-223,-6.1,8611,249,294,20230401
10,10,0,OLD,20231035,카구야 님은 고백받고 싶어 -첫 키스는 끝나지 않아-,2023-04-06,27178300,0.8,-12885900,-32.2,136089900,2383,-1137,-32.3,11980,107,221,20230401
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,1545941390,46.1,-343681878,-18.2,44785691803,154556,-33196,-17.7,4344056,1323,5109,20230331
2,2,0,OLD,20226489,리바운드,2023-04-05,802910347,23.9,-84289396,-9.5,2769555376,82900,-7973,-8.8,290164,1154,4413,20230331
3,3,1,OLD,20231089,존 윅 4,2023-04-12,207880297,6.2,-22572911,-9.8,459549505,17996,-1904,-9.6,39144,173,364,20230331
4,4,-1,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,168895437,5.0,-50248169,-22.9,2666060307,16721,-4636,-21.7,267944,623,1317,20230331
5,5,0,OLD,20231010,에어,2023-04-05,145271413,4.3,-52693051,-26.6,750911362,14494,-5402,-27.2,77552,629,1962,20230331
6,6,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,188916500,5.6,-37243500,-16.5,46190437867,10805,-1836,-14.5,4447450,22,126,20230331
7,7,0,OLD,20210544,웅남이,2023-03-22,44281046,1.3,-4838843,-9.9,2725483652,4793,-566,-10.6,297333,363,558,20230331
8,8,1,OLD,20230484,치킨래빗: 잃어버린 보물을 찾아서,2023-03-18,33462000,1.0,-1266500,-3.6,546366000,3557,6,0.2,61162,138,208,20230331
9,9,-1,OLD,20230764,오글리스: 웰컴 투 냄새 마을,2023-04-06,30223090,0.9,-1948798,-6.1,74771876,3406,-223,-6.1,8611,249,294,20230331
10,10,0,OLD,20231035,카구야 님은 고백받고 싶어 -첫 키스는 끝나지 않아-,2023-04-06,27178300,0.8,-12885900,-32.2,136089900,2383,-1137,-32.3,11980,107,221,20230331
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,1545941390,46.1,-343681878,-18.2,44785691803,154556,-33196,-17.7,4344056,1323,5109,20230330
2,2,0,OLD,20226489,리바운드,2023-04-05,802910347,23.9,-84289396,-9.5,2769555376,82900,-7973,-8.8,290164,1154,4413,20230330
3,3,1,OLD,20231089,존 윅 4,2023-04-12,207880297,6.2,-22572911,-9.8,459549505,17996,-1904,-9.6,39144,173,364,20230330
4,4,-1,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,168895437,5.0,-50248169,-22.9,2666060307,16721,-4636,-21.7,267944,623,1317,20230330
5,5,0,OLD,20231010,에어,2023-04-05,145271413,4.3,-52693051,-26.6,750911362,14494,-5402,-27.2,77552,629,1962,20230330
6,6,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,188916500,5.6,-37243500,-16.5,46190437867,10805,-1836,-14.5,4447450,22,126,20230330
7,7,0,OLD,20210544,웅남이,2023-03-22,44281046,1.3,-4838843,-9.9,2725483652,4793,-566,-10.6,297333,363,558,20230330
8,8,1,OLD,20230484,치킨래빗: 잃어버린 보물을 찾아서,2023-03-18,33462000,1.0,-1266500,-3.6,546366000,3557,6,0.2,61162,138,208,20230330
